EXPORTED XY-GRAPH DATA
201 2 2
Anode Voltage
C Anode>Cathode
2.0000000000e+00 1.1823788060e-16 
1.9800000000e+00 1.1874504040e-16 
1.9600000000e+00 1.1925873600e-16 
1.9400000000e+00 1.1977910810e-16 
1.9200000000e+00 1.2030630180e-16 
1.9000000000e+00 1.2084046620e-16 
1.8800000000e+00 1.2138175550e-16 
1.8600000000e+00 1.2193032830e-16 
1.8400000000e+00 1.2248634830e-16 
1.8200000000e+00 1.2304998440e-16 
1.8000000000e+00 1.2362141070e-16 
1.7800000000e+00 1.2420080720e-16 
1.7600000000e+00 1.2478835950e-16 
1.7400000000e+00 1.2538425920e-16 
1.7200000000e+00 1.2598870450e-16 
1.7000000000e+00 1.2660189980e-16 
1.6800000000e+00 1.2722405690e-16 
1.6600000000e+00 1.2785539420e-16 
1.6400000000e+00 1.2849613800e-16 
1.6200000000e+00 1.2914652220e-16 
1.6000000000e+00 1.2980678900e-16 
1.5800000000e+00 1.3047718900e-16 
1.5600000000e+00 1.3115798190e-16 
1.5400000000e+00 1.3184943650e-16 
1.5200000000e+00 1.3255183150e-16 
1.5000000000e+00 1.3326545580e-16 
1.4800000000e+00 1.3399060900e-16 
1.4600000000e+00 1.3472760190e-16 
1.4400000000e+00 1.3547675700e-16 
1.4200000000e+00 1.3623840910e-16 
1.4000000000e+00 1.3701290610e-16 
1.3800000000e+00 1.3780060930e-16 
1.3600000000e+00 1.3860189420e-16 
1.3400000000e+00 1.3941715150e-16 
1.3200000000e+00 1.4024678750e-16 
1.3000000000e+00 1.4109122510e-16 
1.2800000000e+00 1.4195090450e-16 
1.2600000000e+00 1.4282628440e-16 
1.2400000000e+00 1.4371784280e-16 
1.2200000000e+00 1.4462607810e-16 
1.2000000000e+00 1.4555151010e-16 
1.1800000000e+00 1.4649468160e-16 
1.1600000000e+00 1.4745615890e-16 
1.1400000000e+00 1.4843653420e-16 
1.1200000000e+00 1.4943642600e-16 
1.1000000000e+00 1.5045648140e-16 
1.0800000000e+00 1.5149737770e-16 
1.0600000000e+00 1.5255982360e-16 
1.0400000000e+00 1.5364456210e-16 
1.0200000000e+00 1.5475237150e-16 
1.0000000000e+00 1.5588406860e-16 
9.8000000000e-01 1.5704051030e-16 
9.6000000000e-01 1.5822259680e-16 
9.4000000000e-01 1.5943127390e-16 
9.2000000000e-01 1.6066753640e-16 
9.0000000000e-01 1.6193243110e-16 
8.8000000000e-01 1.6322706010e-16 
8.6000000000e-01 1.6455258540e-16 
8.4000000000e-01 1.6591023190e-16 
8.2000000000e-01 1.6730129290e-16 
8.0000000000e-01 1.6872713420e-16 
7.8000000000e-01 1.7018919980e-16 
7.6000000000e-01 1.7168901770e-16 
7.4000000000e-01 1.7322820560e-16 
7.2000000000e-01 1.7480847840e-16 
7.0000000000e-01 1.7643165570e-16 
6.8000000000e-01 1.7809966920e-16 
6.6000000000e-01 1.7981457270e-16 
6.4000000000e-01 1.8157855130e-16 
6.2000000000e-01 1.8339393290e-16 
6.0000000000e-01 1.8526319940e-16 
5.8000000000e-01 1.8718900070e-16 
5.6000000000e-01 1.8917416890e-16 
5.4000000000e-01 1.9122173500e-16 
5.2000000000e-01 1.9333494640e-16 
5.0000000000e-01 1.9551728740e-16 
4.8000000000e-01 1.9777250170e-16 
4.6000000000e-01 2.0010461720e-16 
4.4000000000e-01 2.0251797440e-16 
4.2000000000e-01 2.0501725750e-16 
4.0000000000e-01 2.0760753090e-16 
3.8000000000e-01 2.1029427800e-16 
3.6000000000e-01 2.1308344770e-16 
3.4000000000e-01 2.1598150410e-16 
3.2000000000e-01 2.1899548370e-16 
3.0000000000e-01 2.2213305760e-16 
2.8000000000e-01 2.2540259760e-16 
2.6000000000e-01 2.2881324100e-16 
