EXPORTED XY-GRAPH DATA
201 2 2
Anode Voltage
C Anode>Cathode
2.0000000000e+00 6.6846546360e-17 
1.9800000000e+00 6.7192625590e-17 
1.9600000000e+00 6.7544133150e-17 
1.9400000000e+00 6.7901212240e-17 
1.9200000000e+00 6.8264011400e-17 
1.9000000000e+00 6.8632684820e-17 
1.8800000000e+00 6.9007392600e-17 
1.8600000000e+00 6.9388301020e-17 
1.8400000000e+00 6.9775582880e-17 
1.8200000000e+00 7.0169417800e-17 
1.8000000000e+00 7.0569992570e-17 
1.7800000000e+00 7.0977501540e-17 
1.7600000000e+00 7.1392147010e-17 
1.7400000000e+00 7.1814139640e-17 
1.7200000000e+00 7.2243698890e-17 
1.7000000000e+00 7.2681053550e-17 
1.6800000000e+00 7.3126442170e-17 
1.6600000000e+00 7.3580113690e-17 
1.6400000000e+00 7.4042327960e-17 
1.6200000000e+00 7.4513356390e-17 
1.6000000000e+00 7.4993482640e-17 
1.5800000000e+00 7.5483003300e-17 
1.5600000000e+00 7.5982228670e-17 
1.5400000000e+00 7.6491483610e-17 
1.5200000000e+00 7.7011108380e-17 
1.5000000000e+00 7.7541459640e-17 
1.4800000000e+00 7.8082911480e-17 
1.4600000000e+00 7.8635856480e-17 
1.4400000000e+00 7.9200706940e-17 
1.4200000000e+00 7.9777896190e-17 
1.4000000000e+00 8.0367879930e-17 
1.3800000000e+00 8.0971137800e-17 
1.3600000000e+00 8.1588174970e-17 
1.3400000000e+00 8.2219523960e-17 
1.3200000000e+00 8.2865746550e-17 
1.3000000000e+00 8.3527435850e-17 
1.2800000000e+00 8.4205218640e-17 
1.2600000000e+00 8.4899757840e-17 
1.2400000000e+00 8.5611755230e-17 
1.2200000000e+00 8.6341954430e-17 
1.2000000000e+00 8.7091144170e-17 
1.1800000000e+00 8.7860161870e-17 
1.1600000000e+00 8.8649897570e-17 
1.1400000000e+00 8.9461298240e-17 
1.1200000000e+00 9.0295372590e-17 
1.1000000000e+00 9.1153196320e-17 
1.0800000000e+00 9.2035917930e-17 
1.0600000000e+00 9.2944765210e-17 
1.0400000000e+00 9.3881052420e-17 
1.0200000000e+00 9.4846188250e-17 
1.0000000000e+00 9.5841684780e-17 
9.8000000000e-01 9.6869167350e-17 
9.6000000000e-01 9.7930385820e-17 
9.4000000000e-01 9.9027227040e-17 
9.2000000000e-01 1.0016172890e-16 
9.0000000000e-01 1.0133609650e-16 
8.8000000000e-01 1.0255271980e-16 
8.6000000000e-01 1.0381419430e-16 
8.4000000000e-01 1.0512334430e-16 
8.2000000000e-01 1.0648324960e-16 
8.0000000000e-01 1.0789727580e-16 
7.8000000000e-01 1.0936910950e-16 
7.6000000000e-01 1.1090279850e-16 
7.4000000000e-01 1.1250279890e-16 
7.2000000000e-01 1.1417402960e-16 
7.0000000000e-01 1.1592193580e-16 
6.8000000000e-01 1.1775256390e-16 
6.6000000000e-01 1.1967264950e-16 
6.4000000000e-01 1.2168972150e-16 
6.2000000000e-01 1.2381222710e-16 
6.0000000000e-01 1.2604968060e-16 
5.8000000000e-01 1.2841284290e-16 
5.6000000000e-01 1.3091394050e-16 
5.4000000000e-01 1.3356693160e-16 
5.2000000000e-01 1.3638783540e-16 
5.0000000000e-01 1.3939514030e-16 
4.8000000000e-01 1.4261031610e-16 
4.6000000000e-01 1.4605846160e-16 
4.4000000000e-01 1.4976913380e-16 
4.2000000000e-01 1.5377742000e-16 
4.0000000000e-01 1.5812534370e-16 
3.8000000000e-01 1.6286373310e-16 
3.6000000000e-01 1.6805474220e-16 
